List Klub,Vendor tiket saat ini,Sumber postingan,Harga Tiket Terendah,Rsta-Rata Kehadiran,Target Penjualan 100% per Pertandingan,Gross Sales 100%,Target Penjualan 50% per Pertandingan,Gross Sales 50%,Target Penjualan 20% per Pertandingan,Gross Sales 20%,Gross Sales 10%
Persebaya Surabaya,"www.persebaya.id , Aplikasi Persebaya Selamanya , tiket.com",https://www.instagram.com/p/C-4-nT7ymhb/?img_index=1 ,100.000,8.919,12.000,1.200.000.000,6.000,600.000.000,2.400,240.000.000,120.000.000
Persik Kediri,"Tiket dapat dipesan melalui @aliansisuporterpersik , tiketpersik.id , Moflip via BRIMo",https://www.instagram.com/p/C-0ORYmyycs/?img_index=1 ,75.000,3.485,5.000,375.000.000,2.500,187.500.000,1.000,75.000.000,37.500.000
Arema Malang, aremaxcess.com, https://www.instagram.com/p/C-sNFsmvgUn/?img_index=1 ,150.000,139,1.000,150.000.000,500,75.000.000,200,30.000.000,15.000.000
Madura United,𝐡𝐭𝐭𝐩𝐬://𝐭𝐢𝐤𝐞𝐭𝐦𝐚𝐝𝐮𝐫𝐚𝐮𝐧𝐢𝐭𝐞𝐝𝐟𝐜.𝐜𝐨𝐦/, https://www.instagram.com/p/C-5IiexSH0h/ ,50.000,2.348,5.000,250.000.000,2.500,125.000.000,1.000,50.000.000,25.000.000
Deltras Sidoarjo,offline, https://www.instagram.com/p/C2lKlH5yPnd/?img_index=2 ,25.000,4.819,6.000,150.000.000,3.000,75.000.000,1.200,30.000.000,15.000.000
Gresik United,@gresikunitedstore,https://www.instagram.com/p/CzsrauAvXT7/?img_index=1 ,35.000,4.545,6.000,210.000.000,3.000,105.000.000,1.200,42.000.000,21.000.000
Persela Lamongan,offline,https://www.instagram.com/p/C2jZBj4hOUn/,40.000,5.955,7.500,300.000.000,3.750,150.000.000,1.500,60.000.000,30.000.000
Persibo Bojonegoro,-,,0,0,2.000,0,1.000,0,400,0,0
Malut United,gratis melalui www.malutunitedfc.com, https://www.instagram.com/p/C22Q1gnh3tI/?img_index=1,0,333,2.000,0,1.000,0,400,0,0
Bali United,bali united apps dan www.baliutd.com, https://www.instagram.com/p/C-iFFc8z-Ye/?img_index=1 ,70.000,5.576,7.500,525.000.000,3.750,262.500.000,1.500,105.000.000,52.500.000
PSIS Semarang,"ticket.psis.co.id dan tiket.com , dan aplikasi PSISFC+",https://www.instagram.com/p/C-7OmEUSQ9S/?img_index=1 dan https://www.instagram.com/p/C-7N_RuSsdn/?img_index=1 ,90.000,6.242,8.000,720.000.000,4.000,360.000.000,1.600,144.000.000,72.000.000
Persis Solo,persis app,https://www.instagram.com/p/C-pgWQCMale/?img_index=1 ,70.000,11.807,13.000,910.000.000,6.500,455.000.000,2.600,182.000.000,91.000.000
PSS Sleman,loket.com ,https://www.instagram.com/p/C-sca0zyHVn/?img_index=1 ,75.000,11.630,13.000,975.000.000,6.500,487.500.000,2.600,195.000.000,97.500.000
PSIM Yogyakarta,loket.com , https://www.instagram.com/p/C-9TmSqhVlG/ ,100.000,9.200,14.000,1.400.000.000,7.000,700.000.000,2.800,280.000.000,140.000.000
Persipa Pati,offline, https://www.instagram.com/p/C23-BoOvsU2/ ,35.000,1.901,4.000,140.000.000,2.000,70.000.000,800,28.000.000,14.000.000
Persijap Jepara,offline,https://www.instagram.com/p/C219ZV2pgYO/?img_index=1 ,35.000,5.253,6.500,227.500.000,3.250,113.750.000,1.300,45.500.000,22.750.000
Persekat Tegal,offline, https://www.instagram.com/p/C--S_3Eya8h/ ,35.000,1.241,2.500,87.500.000,1.250,43.750.000,500,17.500.000,8.750.000
Persiku Kudus,-,-,0,0,1.000,0,500,0,200,0,0
Nusantara United,livin by mandiri, https://www.instagram.com/p/C2wqu6Oy6R2/?img_index=1 ,22.000,563,2.000,44.000.000,1.000,22.000.000,400,8.800.000,4.400.000
Persib Bandung,Persib App, https://www.instagram.com/p/C-3-PFITZ4W/?img_index=1 ,150.000,12.312,14.000,2.100.000.000,7.000,1.050.000.000,2.800,420.000.000,210.000.000
Persija Jakarta,Persija Access, https://www.instagram.com/p/C-63qcmpoxF/?img_index=1 ,200.000,17.359,20.000,4.000.000.000,10.000,2.000.000.000,4.000,800.000.000,400.000.000
Persita Tangerang,persitafc.com dan persita app,https://www.instagram.com/persita.official/p/C4VRcJoveZB/,50.000,2.797,4.000,200.000.000,2.000,100.000.000,800,40.000.000,20.000.000
Dewa United,www.dewaunited.com, https://www.instagram.com/p/C27Al0vS-S7/?igsh=YnNsczZmZHpvMXls ,150.000,644,2.000,300.000.000,1.000,150.000.000,400,60.000.000,30.000.000
Persikas Subang,,,0,0,1.000,0,500,0,200,0,0
Persikota Tangerang,offline,https://www.instagram.com/p/C6xcqzbhMI9/,25.000,0,1.000,25.000.000,500,12.500.000,200,5.000.000,2.500.000
Persikabo 1973,kiostix.com ,https://www.instagram.com/p/C0VUTHDhPD6/?img_index=1,0,913,2.500,0,1.250,0,500,0,0
PSKC Cimahi,@greentroops_,https://www.instagram.com/p/Czh7jpGLRBy/?img_index=1,25.000,333,2.000,50.000.000,1.000,25.000.000,400,10.000.000,5.000.000
Dejan FC,,,0,0,1.000,0,500,0,200,0,0
Adhyaksa Farmel,,,0,0,1.000,0,500,0,200,0,0
Bhayangkara FC,tiket.com, https://en.tiket.com/to-do/bri-liga-1-2023-2024-bhayangkara-fc-vs-persita-tangerang ,75.000,333,2.000,150.000.000,1.000,75.000.000,400,30.000.000,15.000.000
FC Bekasi City,Offline, https://www.instagram.com/p/C2Lun6sBuaa/ ,20.000,738,2.000,40.000.000,1.000,20.000.000,400,8.000.000,4.000.000
Rans Nusantara FC,tiket.com, https://www.instagram.com/p/CozEIaduJNF/?img_index=1 ,300.000,115,1.000,300.000.000,500,150.000.000,200,60.000.000,30.000.000
Semen Padang,eztix.id ,https://www.instagram.com/p/Cz5h7nFvAZs/?img_index=1,30.000,10.548,12.000,360.000.000,6.000,180.000.000,2.400,72.000.000,36.000.000
PSPS Pekanbaru,tiket.com dan livin by mandiri,https://www.tiket.com/to-do/pegadaian-liga-2-indonesia-20232024-psps-riau-vs-nusantara-united-fc ,75.000,5.696,7.000,525.000.000,3.500,262.500.000,1.400,105.000.000,52.500.000
PSMS Medan,offline,https://www.instagram.com/p/C2zjxzDrbv-/?img_index=1 ,25.000,5.514,7.000,175.000.000,3.500,87.500.000,1.400,35.000.000,17.500.000
Sriwijaya FC,offline, https://www.instagram.com/p/C1tGCEeJNeK/?img_index=2 ,55.000,5.222,7.000,385.000.000,3.500,192.500.000,1.400,77.000.000,38.500.000
Persiraja Banda Aceh,offline,https://www.instagram.com/p/C2Bq9D5ykpF/,100.000,15.047,17.000,1.700.000.000,8.500,850.000.000,3.400,340.000.000,170.000.000
Barito Putera,megatix.co.id,https://www.banuatv.com/pembelian-tiket-barito-lewat-online-berikut-panduan-singkatnya/  dan  https://baritoputera.co.id/rute-ke-sdl-dialihkan-loket-tiket-dibuka-siang/ ,30.000,5.034,6.500,195.000.000,3.250,97.500.000,1.300,39.000.000,19.500.000
Borneo FC,ticket-borneofc.com, https://www.instagram.com/p/C_Ft7glvX-f/?img_index=1 ,50.000,7.487,9.000,450.000.000,4.500,225.000.000,1.800,90.000.000,45.000.000
PSM Makassar,tiket.com, https://www.instagram.com/p/C-zaxMRvauJ/ ,50.000,3.473,5.000,250.000.000,2.500,125.000.000,1.000,50.000.000,25.000.000
Persipal Palu,offline,https://www.instagram.com/p/C2uSoUZPtJi/,20.000,3.033,5.000,100.000.000,2.500,50.000.000,1.000,20.000.000,10.000.000
PSBS Biak,https://vesta.halofans.id/event/v2/psbs-vs-psm , https://www.instagram.com/p/C-nNS8nvqm3/?img_index=1 ,25.000,2.825,4.000,100.000.000,2.000,50.000.000,800,20.000.000,10.000.000
Persewar Waropen,offline, https://www.instagram.com/p/Cz-Fo5hP4K9/ ,20.000,2.814,4.000,80.000.000,2.000,40.000.000,800,16.000.000,8.000.000
Persipura Jayapura,offline, https://www.instagram.com/p/CxXBthpP_EQ/ ,10.000,8.494,10.000,100.000.000,5.000,50.000.000,2.000,20.000.000,10.000.000
Rata-Rata,,,Rp57.953,4.425,6.023,"Rp349.038.054,97",3.011,"Rp174.519.027,48",1.205,"Rp69.807.610,99","Rp34.903.805,50"
Rata-Rata Komisi,,,,,,"Rp34.903.805,50",,"Rp17.451.902,75",,"Rp6.980.761,10","Rp3.490.380,55"
Total Potensi Pasar,,,,,265.000,"Rp19.249.000.000,00",132500,"Rp9.624.500.000,00",53000,"Rp3.849.800.000,00",26500
Total Potensi Komisi,,,,,,"Rp1.924.900.000,00",,"Rp962.450.000,00",,"Rp384.980.000,00",0
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,349038055,,,,,
